dyu,fr
N'a kɛra jama ɲamalɔ ko ye sariya gɛlɛn de bi ta banbagaw cɛma,"S’agissant de l’ordre public, elle détermine des peines sévères en cas de rébellion."
Sɛn Martɛn sira Aloɲi tan ni seegi kɛmɛ ni tan Aloɲi.,"Route de Saint-Martin d'Auxigny, dix-huit, cent dix Allogny"
A siya nin bi imɔrsɛl sɛksuyɛl yira.,L'espèce présente un dimorphisme sexuel.
I bi nin barakɛ yɔrɔ ni tigi lɔn wa. Ne beleden lo,"Connais-tu le propriétaire de cette ferme ? C'est Louis Kéric, mon cousin."
parti radikal ka sigida cɛgɛda,"Membre du parti radical-socialiste, il est un radical modéré."
dɔw tun b'o ka sapo brosera,Certains brossaient leurs chapeaux.
a nana n'a ka paspɔr nɛrɛmuguman ye,Il fallut montrer le passe-port jaune.
o tu ma elojan lɔ tuma mɛ,"Cependant Enjolras à son créneau, l’oreille tendue, épiait."
basko ka baa bisaaba ni wɔɔrɔ ni kɛmɛfila badekɔn de pain,"Les Chocats, trente-six mille deux cents Badecon-le-Pin"
fransis katala ye kiritigɛla ye ka bɔ a ka kalan bolo fɛ,Francis Falala est avocat de formation.
fanfila bɛ tun dusu wili ni no,Les deux partis étaient très-irrités.
nin denbaya niw be jigɛ danlaw faraɲɔngɔn ka,Cette famille comprend les plus grands poissons connus.
a bi mɛna jama na,Tout fut entendu et public.
a bi sigɛsigɛri kɛ fan bɛɛ fɛ n'a bi tara sira kelen fɛ,"Le principe retenu, celui de l’expérimentation, va dans le bon sens."
sanpɛl ka sira seilar kɔnɔ,Rue de Champel au Cheylard
A bena kɛ ɲanaman ani ɲɔgɔncɛ.,Cela nous paraîtrait cohérent.
Sira wolofila biratan,sept rue Brabant
A sɔrɔla kuraye.,Nouvellement reçu.
Ni yé tchè fari leyé,Ah ! c'est un homme fort !
A ka ɲi tiɲɛ na.,C’est vraiment beau.
A tun bi panna sangolo la.,Il sautait au ciel.
Nin tigi ka mobili.,La voiture de celui-ci.
mizak ka sira tan ni naani,quatorze rue Muzac
zozɛf kutel ka pilasi seegi,huit place Joseph Coutel
poldeluvrie ka siraba tan ni seegi,dix-huit rue Paul Delouvrier
"Dɔnki, kɛwale ti' fɛ wa?",Mais t’as donc pas d’honneur ?
O ta miriya ta bo fɛ,Elles ont leur agrément.
Zan Brel ka sira Arintɔd kɔnɔ.,Rue Jean Breuil à Arinthod
Bolikɛlabagaw mɔgɔ duuru.,Les cinq grandes sportives.
"Bɛrtraziw ka sira, Ravo .","Route des Bertranges, Raveau"
dɔtɔrɔ lo biosimi ka fandɔra,Elle est docteur en biochimie.
mɔntenɔt ka sira duuru,cinq rue de Montenotte
fantan ɲamɔgɔden dɔ,Un pauvre imbécile.
Ni ta bla gnoro la,Dans une bibliothèque.
Tiɲɛ bi Terasi cɛ fɛ.,Monsieur Terrasse a raison.
huhu a le tɛ,Oh ! pas du tout !
Mou kibaria le beyi,"Quoi de nouveau, Poteu ?"
A bi tara ɲafɛ a b'a lalɔra.," Il s'avança, il l'arrêta."
hunn jama kulu dɔw bé yi,Oh ! il y a un grain !
n baliman muso teri muso,Une amie de ma sœur.
Degi li kounba,Une boulangerie.
Sô ni mobili,Cheval et voiture à louer.
Ni bara ni ma ta,Ce projet n'est pas retenu.
Ni bara kè Yoro ni bi na kôfè,L'industrie vient après.
O fila bɛ don na ɲa jugu ra.,Tous deux entrent à gauche.
Ne ye min kɛ dɔrɔn lo,C’est juste ce que j’ai fait.
Guichy ka sira Vielmanay kɔ,Route de Guichy à Vielmanay
I Lara la ko ne toum bâ fè?,tu es sûr que j'aimai.
Moun yèlè yé,Qu'elle sourit !
Ni bi taga râ bolo youmani da fè,Allant à la porte de droite.
San saba denn,Un enfant de trois ans.
A bi seka sôrô,Vous pouvez te trouver.
Bouteli bâ dow,Une grande bouteille.
"Alé lo,wari missin lo",C’est lui ! c’est Dujeton…
Kalenkɛlaw yi laminɛ kɛ.,Les jurons répondirent.
Kɔnɔw ka sira kɔnɔntɔn.,neuf rue des Puits-
An ka parti dɔ ta joona.,Prenons vite un parti.
Solimani sira Sɛn Zil kɔnɔna.,Rue Solimany à Saint-Gilles
Aw be mun lo mirila ni ne ye ?,Que pensez-vous de moi ?
Sama binaani ni fila.,quarante deux éléphants.
A maɲ cogo jumɛna,"Pas bon, comment?"
A bi sira wolofila na ne kan,Il est dans la septième rue.
Konturba ka sira bɛlmɔnt,"Rue de Grand Contour, Belmont"
Sariya tun ye fanga sɔrɔ kanu kan,La Loi dominait l'amour.
Ale ko ka di mɔgɔw ye,"Elle, elle est aimée."
"Turas ka sira, esilɛn kɔnɔna na",Rue de la Tourasse à Échillais
Crayeri ka sira mugan ni duuru,vingt-cinq rue de la Crayere
A bi ni kɛne ye tuma bɛ,Il fait toujours ça pour moi.
A ti na kɛ yi,Il ne seraient pas.
Jean ma sɔrɔ ka facɛ don,Jean n’a pas connu son père.
An ka kow lamafilɛ.,Répartons les choses.
Ɔnhɔn a ma deli Hanri.,"Non, jamais ! HENRI."
Kunu i tun bi nanina.,Hier tu pêchais.
Fɛn fɔlɔ min kaɲ ka kɛ,La première chose à faire…
Kana kɔ lase.,Ne reviens pas !
An nuw bi kalanso fɛ wa,Nous aimons l'école ?
Kumakan min baraka bara,Une voix bénie de Dieu !
Sanji lo bi nana wa ?,Est-ce qu'il pleut ?
Nin livru ni fana ka di n ye,J’aime aussi ce livre.
Aw y'a bila mun lo kan?,Qu'avez-vous décidé ?
Nne ti fɛn caama lɔn.,Je ne sais pas grand-chose.
Yan bɛ tun b'a kan.,Tous les yeux la regardaient.
Kɔnɔna dibini bɛ.,Le fond est sombre.
Bichu bi na,Madame Bichu : F. Genat.
Tiens,Follavoine C’est vrai ça !…
Sama belé belé,un grand éléphant.
Ibu bamousso tara,"Mère Ubu , y allant."
a ɲin bolow sagati .,Il lui baise tes mains.
Cherlbert ka sira tan ni kɔnɔntɔn.,dix-neuf rue de Chelbert
sigilan wɛrɛ.,Une autre chaise.
anw ka dɔniw bɛ min?,Où sont nos bagages ?…
Ibi salati flabourpu lo kèra?,Tu en fais de la salade?
Nounson dia toum bana,La fête était terminée.
Prince John ka soutra li kèra,Le prince John y est enterré.
Ne bi na kouma fô bianchon yé,J'en parlerai à Bianchon.
Sabari nan ambé ta ni gnongon yé,s'il te plait viens avec moi.
Ko nongo kè bali,Quels saints étaient-ils donc?
A magni ne bâ lon,Oui c'est mal je sais.
Sigilan yiri laman den nani,Quatre chaises en bois.
Nga siginan den fila,Mes deux chaises.
Ne bi fè frontin,"Je t’aime, Frontin !"
Ne bi sè bè li kè yènè ma,"Moi, j’écris bien."
Dana ni bi bôra,"À part, en sortant."
Ayi ne ma foyi fô,Mais je n’ai rien dit
A tora Paris san fila,Il reste à Paris deux ans.
Min yi Koura yé ka tèmè oni yongon tchè,Le plus neuf d'entre eux.
Aw kana kouma fangara,Ne parlez pas si haut.
Gordes ka tama sira,Route de Gordes à Robion
Ne tôgô yé John Smith,Je m’appelle John Smith.
Ne son na,Je suis d’accord
Mousso ya ka fougoulan tounou,La femme perdit son bonnet.
A bi ne nègè nègè râ,Elle me console.
To ni Yoro ni na bi taga,"Reste là, j’y vais."
Sandji kaygni ka na sini,Il est censé pleuvoir demain.
A ta fè ka ta,Il ne veut pas partir.
Goût yana ma bara,Je pense qu'il a bon goût.
Iyi nga déni ko wa ?,T'as lavé mon doudou?
Ne ti américain yé,Je ne suis pas américain.
Ka ta fo dougou bâ konon,Aller jusqu'à la grande ville.
Ni a kagni,"Il est bon, lui !"
Ne be Sega na ni um teri yé wa?,Je peux venir avec mon ami ?
Gèma alé ni kefé ni nonnon,Blanc comme du café au lait !
A toumbi na sa ina fô ale wa?,Allait-il mourir comme elle?
Sèbè dô tchi a ma ni bi sé,Envoie-lui un mail si tu peux.
Dondon ni aya yèrè gan,"Peu à peu, elle s'échauffa."
Olou o donni bê,"Eux, ils sont connus."
A bi sôrô dji dara,Il se trouve en bord de plage.
A taga ra,Elle est partie.
Boyan bâ le bâ râ,C’est plus respectueux.
Fè yana ma,une bonne chose.
Ayé ni yé feré bi min fè,Voilà ce que veut le commerce!
Ni film bi bôra fiman ni gêman,Ce film est en noir et blanc.
Ni yé moulo yé,Qu’est cela? demanda-t-elle.
A tun bi baleman muso fɛ,il aimait ta sœur.
A kaɲ ka famaw lamasɔmi wa,Faut-il avertir les autorités?
Mɔgɔ kelen dɔ tun be yi min bi kule la.,Il y en avait un qui criait.
Furu kɛni san kelen tɛmɛni kɔfɛ.,Après un an de mariage !
Lysiɛ buyo ka tama sira mugan ni seegi,vingt-huit rue Lucien-Bouillot
Siyɔrɔ ɲanaman be yi.,Il y a une bonne auberge.
An bi cogoya min na.,Dans l'état où nous sommes.
Aw bi ɲɛn cogo jumɛn ?,Comment réussissez-vous ?
kɛrbo ka sira gurɛn kɔnɔ,Rue de Kerbos à Gourin
sira jan ka nɛma dinar kɔnɔ,Rue de la Haute Guais à Dinard
bɛtran panse y'a bɛ fɔ,Bertrand Pancher a tout dit.
Bankbarakɛla sɔgɔsɔgɔ ra.,Le banquier toussa.
Senwulemanw.,Les pattes sont pourpres.
kalanbga honhon,"Oh ! non, Monsieur."
A ma ban.,Ce n’est pas fini.
Bretaɲ ka tugukuntigiw.,les ducs de Bretagne.
jɔn le ye yelen dibi,Qui a éteint la lumière ?
nin an yɛrɛ ta lon,Quand on ne sait pas soi-même.
Samafin bisaba ani saba.,Trente-trois éléphants noirs.
I lara' ra la ko a b'a fɛ.,Tu es sûr que vous aimez.
A sera wa?,Vous êtes arrivé ?
Labanfɔlɔ.,L’avant-dernière.
A bi fɔnɔ nin nɛnɛkiri la.,Sa respiration est aérienne.
O nusɔn kadi.,Ils sont contents!
Antoyn armaɲak ka sira tan ni kɔnɔntɔ,dix-neuf rue Antoine Armagnac
mɔntodɛn muso ka kɛ danan,"Madame Montaudoin , à part."
A kaɲ i na fɔ ne. I ni cee,Aussi bien que moi ! merci.
min sɔn kaɲ,Celle-ci qui est agréable.
Bi Bali la kèlè bolo do ma,Je te prive d’une bataille.
Wagakelen a ni kɛmɛ ni dɔɔrɛ fila,mille cent onze-deux et L.
I bi jɔn le man ?,À qui en as-tu ?…
Tanto bi Ala ue,Que Dieu soit bénit !
Wagati ani wagati.,De temps en temps.
Rose tounba fè ka famouya li sorô,"Rose , voulant avoir compris."
Anga boli ni telia yé,Courons au plus pressé.
Abé ka boli,Il est en train de courrir.
Yala a ou djèna na yé wa?,Est-ce que vous êtes d’accord?
Ini tchié Ferdinand,"Merci, monsieur Ferrand."
Miriya ali waliya,La Pensée et l’Action.
Oba FO ka walgnouma don,je vous remercie.
Basi fosi ti n na i ni ce.,"Je vais très bien, merci."
Aw ta fɛ ka bɔ wa,Vous ne voulez pas sortir ?…
I lanibala ko a bi na diya i ye wa ?,Tu es sûr que tu aimerais.
An bi hɛrɛkɛ o ye,On leur donne la paix.
"Ne ka musoɲuman, nin kalan n ye tugun.","Relis-moi ça, ma poule."
O bina kɔsegi sisan sisan.,Ils reviennent tout de suite.
su joli kɔsɔn,Pour combien de nuits ?
a kɔsegira tugu ko sabari,"«Pardon,» répéta-t-il."
su joli kɔsɔn,Pour combien de nuits ?
Aw b'a fɛ ka kuma ni ɲɔn ye ?,À qui voulez-vous parler ?
A tara Bɔstɔn ka ye wa?,Vous avez déjà été à Boston ?
N bina dumuni kɛ kato kɔngo bi ne ra.,Je vais manger car j’ai faim.
dina musow y'a lamɛ,La religieuse écouta.
N b'a kalama jaati.,Je le sais bien.
Sinɔgɔ wagati sera.,Il est temps de dormir.
Hakililata nin ka ɲi kɔsɔbɛ.,Une leçon importante.
Sabou miria ta man fissa,L’avis est donc défavorable.
Rusi ka kasa,L'odeur de roussi
A fana tun l ka mɔgɔw cɛma,Elle a aussi été membre de l'.
Meye ka sira tan,dix rue Meillier
Tinay sira min bɛ cɛmancɛla,"Rue Centrale, Tenay"
Foglita den duuru live.,"cinq Foglietta, liv."
A ni kilan sigilan yɔrɔ caman lora,Elle se divise en plusieurs groupes.
Faani jan nɛrɛmuguman wuleman tɛ.,Une robe jaune et non rouge.
I bi mun lo dumu na pɛr Ibu?,"Que manges-tu donc, Père Ubu ?"
Bon dayɛlɛ fɛn bi ni a baleman muso ye,la clé est avec sa sœur.
A bi barada jumɛ la?,Quel métier fait-il ?
Emil paro ka sira bɛlpot,"Rue Émile Parrot, Belfort"
A bêyi kelen,Absolument identique.
Koro shi kè la yi bou gô li kè,L'espion frappa du pied.
Placot ka sira saint Justin kon non,Rue du Placot à Saint-Justin
"Douai ka tama sira,mouchin","Route de Douai, Mouchin"
"O Ti ne fè,nazie","Je ne les ai pas, Nasie."
Valentine ka sira,"Rue Faventines, Valence"
Ko min bi yèlè bla,Drôle de problème!
Sèbè li kè kala bougouri la ma bi a fé wa?,Vous avez des crayons gris ?
Sira tchaman tchè tenai,"Rue Centrale, Tenay"
Kouma tchè youma ni,Joli jeu de mots. Il sourit.
A ti balo ka yé Madagascar,Il ne vit jamais Madagascar.
A Ti balo ka yé Madagascar,Vous êtes fatigué ?
Salaise ka tama sira,Route de Salaise à Roussillon
A toun ya ka kalan kè Philadelphie,Il fit ses études à l'Université de Pennsylvanie à Philadelphie.
Kouma koun kelé gelé bè djati ni lo,Chaque mot compte a été pesé.
A bi filè li kèra na bâ tigè ra,elle regarde en traversant.
On on ibi Bali man tchè lamèna wa?,"Non, tu entends ton frère ?"
A be carti dô dira,Il donne les cartes.
Dôtôrô tchè ka sira,Rue du Docteur Bouclet à Sours
Jules courtois ka sira,"Rue Jules Courtois, Chartres"
Omer toumbi ta râ akan tien le kan,Omer se rendait à ces raisons.
Sanga bô yo gèrè gnongon nan,La publicité les rapproche.
Ramsitɔrf ni al ka miriya ta.,Selon Rahmstorf & al.
A kagni,Comme c'est gai !
Mogô dow ka Togo,La liste des membres.
Charles ka sira ta ni nani,quatorze rue Charles Emeringer
Ka un ma lo ni bolo yé,me retient par le bras.
Mougan ni woro,vingt et une petites chiennes.
Saya,La mort pour si peu de chose!
Ne ka ni Yoro di,Si je donnais l'exemple?
Sogp ma lo,À sept heures du matin.
I la fé doumou,Mange tes légumes!
I ka kènè wa,Et Paillardin va bien ?…
Gnongon famou y'a bali,C’est scandaleux
A le lo,L'aïeul serait content.
O toubi foli kè,Par là il se saluait héros.
Gastinaye ka sira tan ni naani.,quatorze rue de la Gastinaye
Zan ni Tremole bi foli kɛ ra.,Jean et Trémollet saluent.
Ka lafien waga tira,Se repose à temps.
Kalan den ka môbili lô yorô,Un arrêt de bus est présent.
Brest ka dougou konon nan,La ville de Brest.
Doussou kassi mogo min beyi,Malheur à qui se trouve là!
A kèra ma komi ko kourama,Je trouve que c’est dommage.
O toun kagni ka tilé Bali faga,Il fallait tuer l'infidèle.
"Sigi nan saba,min ka bo ka tèmè",Trois fois plus grand.
Djatili lo,C’est l’inventaire.
Ni mogô bâ ni teyi,Cette grande personne-ci.
Haemin wolo la,Haemin est né à Daejeon.
A kagni o fla tchè,Bien/ entre les deux.
Antoine ka sira lo,dix-neuf rue Antoine Armagnac
O ko toum diara mogô yé,ils ont été aimé.
"Ayi wa,mina ya filè","Alors, monsieur… je vais voir."
ne lara a la ko nɛ tu b'a fɛ.,je suis sûr que j'aimais.
Kounsi gi ti gê râ,Des cheveux mieux coupés.
Fen bla yoôro,"On dit plutôt ""Conservatoire""."
Saint père ka sia,trois chemin de Saint-Père
I ni sɔgɔma muso ɲuman..,"Bonjou, bonjou, belle dame."
Laon ka sira,"Rue de Laon, Corbeny"
Nin kobalini nin dagani lo.,Cette suspension est de droit.
Lusuwe ka sira.,Rue de l'Oussouet à Trébons
Kuru lo.,Rochers calcaires.
Figeac ka sira,"Rue Cyprien Tillet, Figeac"
Loches ka sira,"Rue de Barbeneuve, Loches"
A ka lafilɛnina,Votre amendement la favorise.
N larala,Je maintiens cet amendement.
Su joli kama?,Pour combien de nuits ?
a ye finɛtri cɛn,Il a brisé la fenêtre.
I t'a jati minɛ ka filɛ wa?,Tu ne devines pas ?
Ɲanamanya teyi fangatɛ,Pas de vie sans base physique.
Ko a sumani le,Que c’est froid !
A ye a yɛrɛ mara ka ɲɛ,Gardez-vous-en bien !…
Yann bi kalan kɛra,Yann apprend sa leçon.
An tun bi dɔgɔmuso fɛ,on aimait ta sœur.
Kuma nin do Fino ko tan.,"Et morale, ajouta Finot."
A ka dugubafɔlɔ ye Bɔrgane ye.,Sa capitale est Borgarnes.
Laban le bi setigi yira.,La fin justifie les moyens
Masi man kan ka don.,Il est interdit d’entrer.
Juma le kadi Aw ye,Lesquelles vous plaisent ?
Aw tu bi kasila ka kɛ baw ye,On pleurait d'être mère.
Ka tɔgɔ d'a la nasarakan na.,Sous-titré en français.
sisan bara bé yi,"Alors, il y a du boulot!"
A kana ta joona.,N'allez pas trop vite !
ɲanaman ele do,"Eh bien, et toi ?"
O fila si tɛ.,Ni l’un ni l’autre.
daminɛ bagaw be yi,Il y a des débutants ?
Foyi ma feere tile kɔnɔ.,Rien vendu de la journée!
sunguru den clɛr,C'est mademoiselle Claire.
O bɛɛ la musokɔrɔba.,La plus vieille.
n bi toka a kɛ ɔnhɔn,Je continue? Non ?
n facɛ tun bé yi,Mon père y a été.
Obi balo ni dɔɔnin ye.,Ils vivent de peu.
I bi fɛ ka yɛlɛma wa,Veux-tu en changer ?
Sɛbɛrikɛnanw do?,Où sont mes crayons ?
bisaaba a ni bataki jan,Trente et une longues lettres.
Fogo y'a ka kuma mi.,Un cercle l'écouta.
Cɛfangatiw ɲamanin le.,Des messieurs fort arrogants.
N ka lɔniya tun ka bon.,J'avais une espérance immense.
Kunu tun yi lamusa ye.,hier c'était jeudi.
Ayé sèbè li dogo bè ra,Il cache vivement la lettre.
I na FO doygou ma,"Tout bas, par exemple."
Tendé o bla vnab,Bien ! mets-les là.
Sisqan ban don ka tig,mais je crois que je ne parviendrai pas à la faire revenir aux sources…
Aziz ti na feere n ma,Asie ne me les vendrait pas.
N bi min lɔn ɲanaman,je ne sais que trop bien.
Bizu kelen drɔn wa?,Rien qu’un baiser ?
Dɔnidɔni ni hakili sigi ye.,Lentement mais sûrement
Nunuw nɔ bilala ni senkuman deen le ye,Ces empreintes sont des éraillures faites par le bout des pieds.
Fɛn kura bi bɔ fɛn kura le la.,La créativité est le principe de nouveauté.
Togô djouma le bafè,Quel nom avez-vous ?
Ayi ayè rê kalif ne ra,Il ne me laissa pas le temps de lui confesser l'état de mon coeur.
Aw tɛ se ka mɔgɔ sɛbɛ sɔrɔ ka tɛmɛ ale kan,Vous n’estimez pas un honnête homme plus que tout.
Ayi n tun ye ni le fɔ,Voilà ce que j’aurais dit.
O be yè lè la a ra,Mais on se moqua du bonhomme.
N' galo,Sinon la signature est valide.
Segi tara,Sans doute… sans doute.
Fɔlɔfɔlɔ la yɛlɛmani caama tun bi don kow ra.,L’époque classique montre un brusque changement dans la fonction des trompettes.
Fangatigimuso labɛn ni lo k'a ka baraban tuma jayan.,La ministre est prête à prolonger l’âge de départ à la retraite.
Kalanso donda bi kinibolo fɛ.,Porte de la classe à droite du bâtiment.
A mɛnna fɛnw labɛnin lo cogowɛrɛ la.,"Depuis, les choses sont organisées un peu différemment."
N ka ɲadenkɔrɔsinan.,Ma paire de lunettes.
Kɔrɔcɛ fila le.,ce sont deux frères.
Mɔgɔkɔrɔbaw b'o ka maliyakow dogo ra.,Le groupe de personnes âgées partagent des détails intimes de leurs vies.
O bi Simɔne yirala k'a bi donna ni da ye a numanbolo fɛ a bi sɛkɔ ka yira k'a bi bɔra ni kɔnɔna ye.,"Il indique Simone qui entre de gauche, puis il sort par le fond."
N ne! A y'a bi n n'a KO n dusukadi ɛsike ale ni se ka kɛ wa? a y'a bolo bil'a dusukun na a bi kuma n f ɛ,"Moi ? Me croyez-vous heureuse ? est-ce possible ? Appuyez la main sur votre coeur, et répondez."
A mana bɛn miho min ye a bi Dia o ye,"Peu importe lesquels vous apporterez, ils nous conviendront."
A y'a hɔn a ɲɔgɔn cama bi kɛ a nin na,Tenez ! vous en avez encore plein les dents.
Ka sɔrɔ nunugu ekɔlsow bɛ bi yɔrɔ yira Sara le kama,Or tous ces établissements donnent lieu à paiement.
Sisan an tun kaɲi ka cogo dɔ sɔrɔ ka an kow kɛ ni yɛrɛ kɔrɔsi ye,Mais nous devons avoir un mode d’emploi de ce plan de vigilance.
A bi station nouma bolo fè,Elle est un affluent gauche du fleuve l'Elbe.
Mankan kina den nani,Quatre sonneurs.
Ayi gnan datougou nan kôrô ta,Il lève le voile.
O ka siniyasiki ye juman ye?,Quelle est leur destinée?
"A ka kɛnɛ sisan wo, o ka fisa.",Le plus tôt sera le mieux.
Kader wolola Londres,Cadell est né à Londres.
Da tanseeginan.,La dix-huitième porte.
Hèrè bi fôlô môgô wou kan,Les Romains sont victorieux.
Sè bè li kè la bi a fè wa?,Vous avez ur crayon gris ?
"Touma bè a be na ni fanga yé,ayé sigi ka kouma","À chaque fois, vous passez en force, et vous refusez de mener une véritable concertation."
Nga mousso ka mogô fé,On s’embrasse énormément dans la famille de ma femme !…
A bi mogo tchama fè,Il emploie une centaine de personnes.
Aka mousso ka gni,"Mais est-ce une femme extraordinaire ? J'engage la conversation, pour voir."
Ayi kalan kè ka dan yôrô djouma na?,Quel niveau d’étude avez-vous ?
Akagni ka bara ka flè,"Nous devons essayer de l’appliquer, pour voir s’il marche ou non."
Kapiteni Gennaro bɛna kɛ anw ta ye wa ?,Le capitaine Gennaro sera-t-il des nôtres ?
Ayi accident kè a ma mè,Elle a eu un accident de la route la semaine dernière.
Kouma yèlèma ni bara lo,Le traducteur Jacques Vincent le présente comme l'un de ses protecteurs.
Lonnia ka bo kodjougou,"Je donne donc, de manière tout à fait constante, un avis défavorable à ces amendements."
A bi tan lé,"C'est comme cela. — Allez, Dubois. — Vous voilà ma prisonnière."
Nin tigi bi bɛrɛden yira la a ra bɛrɛden min bi mɔgɔ hakili dayɛlɛ.,"Celui-ci lui fait découvrir un manuscrit, selon lequel un cristal contiendrait un esprit."
A ya de gi min lé,Avec qui l'avez-vous appris ?
hee ale le a ba kɔkɔra,Ah ! c’est lui… il sonne…
O bo yèrè datou gou ou feyi,Ils s’enferment chez eux.
A le lo,Le Garçon. — Ah ! oui.
A ka musso ma,Revenant à sa femme.
Jospin lo,Rendez-nous Jospin.
Djama kè râ kelé,"Au public, même jeu."
I kanka bila,Tu doit mettre ça en place.
A bi san djoli,"Voyons, quel âge avez-vous ?…"
Lo dô an bi a yé,Un jour où tu vas être père !
Si san a kagni,Enfin il est parti.
Djama fara la,La foule s'était assemblée.
Na yan té,Nous perdons notre temps !
A fô doni,Il dit simplement : Va.
Ni fana yé sigilan wèrè yé,Une autre chaise jaune.
Poste do beyi,En face de la poste.
A tora franci,Il reste en France.
A nousson kadi,Elle est contente.
Sira tounga djan,La route était longue.
A bi donkili kalan lan sissan,Il étudie ensuite le chant.
Ko wɛrɛ lo.,Cette autre chose.
Ne baa lo,Je vivrai pour mon fils.
n ye bolora barakɛla le ye,Je suis ingénieur.
"Ɔnhɔn ɔnhɔn, ale lo.","Oui, oui, c'est convenu …"
bida fɛti wilila yani ɲɔgɔn dan ka sée,La date butoir a été supprimée avant toute évaluation.
A ka gni dè missin ma,Il est expert en infanterie.
A Tina famou,Elle ne le comprendrait pas.
A bi mofô la m na gan,Donc c’est inquiétant.
Mina sokô yo ro kelé kan,J’insisterai sur un point.
Do go ni kolo,Oh ! mais si discrètement !
A yi yorô sou ma,elle refroidit l'atmosphère.
Ni ya da ni loni tè,Ce visage lui était inconnu.
A toun di mi ni bê,Elle n’était point nerveuse.
A tounou na,J'ai perdu mon doudou!
Sisan o bi barakɛra mɛ o di bara ni tigi ye,"Ainsi, l’entité continue d’utiliser l’actif mais n’en est plus le propriétaire."
ale tɛ,Ce n’est pas le cas.
o yi n ka bebedeni wɛrɛ sanze,On t'achètera un autre doudou.
n dɔgɔ cɛ deni le,Voilà mon frère cadet.
ala sigɛn ba lo,"Seigneur, c'est trop souffrir."
n wolo lon bi bɛn lon kuma le ma,Quand tombe ton anniversaire ?
N bina kɛ i kɔrɔmuso fɛ.,J’aimerai ta sœur.
nunu o tun ba kalan na,"Eux, ils liraient."
"An, an, an, an.",En … en … en … en …
a y'i jigi aviɔn sora,Emmenez-moi à l’aéroport.
a ye tigɛrɛ fɔ UNP sigi bagaw ye,(Applaudissements sur les bancs du groupe UMP.
A! marki an teriw bina mun lo fɔ n'o yan lamɛ?,"Ah ! marquis, que diraient nos amis, s'ils vous entendaient ?"
Fari folo tchien,La dégradation du corps.
A jolisiraw funu na.,Ses artères enflaient.
A y'a ka kuma laban fɔ ɲamɔgɔ ye.,"Veuillez conclure, monsieur le député."
E i mirila nin na ali sisan ?,Ah ! tu penses encore à ça ?
min ti diɲɛlatigɛ tɔ ye,Pas le moins du monde
a bi jue komi cɛmancɛ min bi yɛlɛ ka taga ɲafɛ,Il joue comme milieu offensif.
bob ni ik ba bilasirala,Bob et Ike l'accompagnent.
Aka moulé kè,Qu'est-ce que vous avez fait ?
Mi tou ka bara kè a bi sigi Yoro la,L'exécuteur était à son poste.
I lo t'en,L’amendement est défendu.
Doussou gan,Avec une colère contenue.
Gabriyɛl a ka ɲi..,Gabriel Je vous en prie !
Nin san ni kɛla nin..,"Eh bien, ce client ?"
N nana wili k'a ti kɛ n na.,Je finis par me révolter.
Foyi teyi tugun.,Il n’y en a plus aucun.
Ma daganden.,les gens maudits.
Bi yi tɛnɛdon lo ye.,aujourd'hui c'est lundi.
Sisan a teyi foyi kama.,Mais vous n’y êtes pour rien
A ye taga sira kelen kan.,Allez tout droit !
A lɔn na a ka nanw na.,Il est connu pour ses sauces.
Wari bi n fɛ.,J'ai de l'argent.
I ti na ta dɔn kɛ a?,Tu n’iras pas danser ?
N ɲa b'a ra a ka ɲi.,Je vous trouve joli !
Siyɛkili den tan ni fila.,Une douzaine d’œufs de poules.
A ka livru le.,C’est votre livre ?
bolola barakɛ la sekɔra kana sɔgɔmadafɛ,L'artiste est revenu ce matin.
BE ka sɛbɛ bi n bolo,Je suis diplomé de B.E.
ahh n bi nin na,Hélas! je suis vivante.
tumamina azinɔr ba sira,Pendant qu’Agénor donne.
fɛn tan ni saaba,Il comprend treize espèces.
a ɲɔgɔn ma kɛ,C’est incroyable !
n kun bi n dimina,J'ai mal à la tête.
a dan ye ko sanji kana n'a,Pourvu qu'il ne pleuve pas !
alugu a ba kalan na,"vous, vous lirez."
masɛr lu naani,quatre cour du Couvent
Ayi miri Bali yé,Vous êtes un ingrat…
a yi kɛ a tumana,Soyez-y à temps !
a bi to o yɔrɔ la yi goo san tan,Il y restera près de dix ans.
an tun kaɲi ka Malia,Vous devriez avoir honte.
Nin ti n'a ɲɛ,Il n’y réussit pas.
An bi kè doni mousso,"A tout à l’heure, madame Grosbois."
A bamousso ko bi na dia a yé,Elle aimera ma mère.
Ini san koura,Bonne année à toi.
Mogo ka tcha yan,Il y a beaucoup de monde ici.
Djii gobelet yan kelé,Un verre d'eau ?
Kana hum yagamou,Ne nous troublons point.
A bi moulo kèra?,Qu’est-ce qu’il fait ?
Oun toun ta lon,Je ne savais pas cela.
Lodo soga alé yére lo bi yèlè kora dougou ma,"Un matin, lui-même les avait aperçus en train de rire dans le sous-sol."
A bi fèga moulo fo,Qu'est-ce que ça veut dire ?
A beyi le,C'est une réserve naturelle.
A kana tɛnɛ de miniti kan..,Pas plus de deux minutes.
Sanji bina na sini.,Demain il pleuvra.
ɛsiki anw yi an ka jugu le ye Nin an bi kuma fɔ aw ye,Est-on votre ennemi parce qu’on vous conseille ?
Gasitɔn bi n'a yɛrɛ tunu ka boyi ka se k'o ka hɛrɛkɛ,Gaston s'effacera pour faire leur bonheur.
